iso,name,url
ABW,Aruba,/countries/aruba
AFG,Afghanistan,/countries/afghanistan
AGO,Angola,/countries/angola
ALB,Albania,/countries/albania
AND,Andorra,/countries/andorra
ARE,United Arab Emirates,/countries/united-arab-emirates
ARG,Argentina,/countries/argentina
ARM,Armenia,/countries/armenia
ATG,Antigua and Barbuda,/countries/antigua-and-barbuda-0
AUS,Australia,/countries/australia
AUT,Austria,/countries/austria
AZE,Azerbaijan,/countries/azerbaijan
BDI,Burundi,/countries/burundi
BEL,Belgium,/countries/belgium
BEN,Benin,/countries/benin
BFA,Burkina Faso,/countries/burkina-faso
BGD,Bangladesh,/countries/bangladesh
BGR,Bulgaria,/countries/bulgaria
BHR,Bahrain,/countries/bahrain
BHS,Bahamas,/countries/bahamas
BIH,Bosnia and Herzegovina,/countries/bosnia-and-herzegovina
BLR,Belarus,/countries/belarus
BLZ,Belize,/countries/belize
BMU,Bermuda,/countries/bermuda
BOL,Bolivia,/countries/bolivia
BRA,Brazil,/countries/brazil
BRB,Barbados,/countries/barbados
BRN,Brunei Darussalam,/countries/brunei-darussalam
BTN,Bhutan,/countries/bhutan
BWA,Botswana,/countries/botswana
CAF,Central African Republic,/countries/central-african-republic
CAN,Canada,/countries/canada
CHE,Switzerland,/countries/switzerland
CHL,Chile,/countries/chile
CHN,China,/countries/china
CIV,Côte d'Ivoire,/countries/côte-divoire
CMR,Cameroon,/countries/cameroon
COD,"Congo, Democratic Republic of",/countries/congo-democratic-republic
COG,"Congo, Republic of",/countries/congo-republic
COK,Cook Islands,/countries/cook-islands
COL,Colombia,/countries/colombia
COM,Comoros,/countries/comoros
CPV,Cape Verde,/countries/cape-verde
CRI,Costa Rica,/countries/costa-rica
CUB,Cuba,/countries/cuba
CYM,Cayman Islands,/countries/cayman-islands
CYP,Cyprus,/countries/cyprus
CZE,Czech Republic,/countries/czech-republic
DEU,Germany,/countries/germany
DJI,Djibouti,/countries/djibouti
DMA,Dominica,/countries/dominica
DNK,Denmark,/countries/denmark
DOM,Dominican Republic,/countries/dominican-republic
DZA,Algeria,/countries/algeria
ECU,Ecuador,/countries/ecuador
EGY,Egypt,/countries/egypt
ERI,Eritrea,/countries/eritrea
ESP,Spain,/countries/spain
EST,Estonia,/countries/estonia
ETH,Ethiopia,/countries/ethiopia
FIN,Finland,/countries/finland
FJI,Fiji,/countries/fiji
FRA,France,/countries/france
FRX,French Guiana,/countries/french-guiana
FSM,"Micronesia, Federated States of",/countries/micronesia-federated-states
GAB,Gabon,/countries/gabon
GBR,United Kingdom,/countries/united-kingdom
GEO,Georgia,/countries/georgia
GHA,Ghana,/countries/ghana
GIN,Guinea,/countries/guinea
GLP,Guadeloupe,/countries/guadeloupe
GMB,Gambia,/countries/gambia
GNB,Guinea-Bissau,/countries/guinea-bissau
GRC,Greece,/countries/greece
GRD,Grenada,/countries/grenada
GRL,Greenland,/countries/greenland
GTM,Guatemala,/countries/guatemala
GUY,Guyana,/countries/guyana
HKG,Hong Kong (China),/countries/hong-kong-china
HND,Honduras,/countries/honduras
HRV,Croatia,/countries/croatia
HTI,Haiti,/countries/haiti
HUN,Hungary,/countries/hungary
IDN,Indonesia,/countries/indonesia
IND,India,/countries/india
IRL,Ireland,/countries/ireland
IRN,Iran,/countries/iran
IRQ,Iraq,/countries/iraq
ISL,Iceland,/countries/iceland
ISR,Israel,/countries/israel
ITA,Italy,/countries/italy
JAM,Jamaica,/countries/jamaica
JOR,Jordan,/countries/jordan
JPN,Japan,/countries/japan
KAZ,Kazakhstan,/countries/kazakhstan
KEN,Kenya,/countries/kenya
KGZ,Kyrgyzstan,/countries/kyrgyzstan
KHM,Cambodia,/countries/cambodia
KIR,Kiribati,/countries/kiribati
KNA,Saint Kitts And Nevis,/countries/saint-kitts-and-nevis
KOR,"Korea, Republic of",/countries/korea-republic
KWT,Kuwait,/countries/kuwait
LAO,Laos,/countries/laos
LBN,Lebanon,/countries/lebanon
LBR,Liberia,/countries/liberia
LBY,Libya,/countries/libya
LCA,Saint Lucia,/countries/saint-lucia
LIE,Liechtenstein,/countries/liechtenstein
LKA,Sri Lanka,/countries/sri-lanka
LSO,Lesotho,/countries/lesotho
LTU,Lithuania,/countries/lithuania
LUX,Luxembourg,/countries/luxembourg
LVA,Latvia,/countries/latvia
MAC,Macau,/countries/macau
MAR,Morocco,/countries/morocco
MCO,Monaco,/countries/monaco
MDA,"Moldova, Republic of",/countries/moldova-republic
MDG,Madagascar,/countries/madagascar
MDV,Maldives,/countries/maldives
MEX,Mexico,/countries/mexico
MHL,Marshall Islands,/countries/marshall-islands
MKD,"Macedonia, the former Yugoslav Republic of",/countries/macedonia-former-yugoslav-republic
MLI,Mali,/countries/mali
MLT,Malta,/countries/malta
MMR,Myanmar,/countries/myanmar
MNE,Montenegro,/countries/montenegro
MNG,Mongolia,/countries/mongolia
MOZ,Mozambique,/countries/mozambique
MRT,Mauritania,/countries/mauritania
MSR,Montserrat,/countries/montserrat
MTQ,Martinique (France),/countries/martinique-france
MUS,Mauritius,/countries/mauritius
MWI,Malawi,/countries/malawi
MYS,Malaysia,/countries/malaysia
NAM,Namibia,/countries/namibia
NCL,New Caledonia (France),/countries/new-caledonia-france
NER,Niger,/countries/niger
NGA,Nigeria,/countries/nigeria
NIC,Nicaragua,/countries/nicaragua
NIU,Niue,/countries/niue
NLD,Netherlands,/countries/netherlands
NLY,Netherlands Antilles,/countries/netherlands-antilles
NOR,Norway,/countries/norway
NPL,Nepal,/countries/nepal
NRU,Nauru,/countries/nauru
NZL,New Zealand,/countries/new-zealand
OMN,Oman,/countries/oman
PAK,Pakistan,/countries/pakistan
PAN,Panama,/countries/panama
PER,Peru,/countries/peru
PHL,Philippines,/countries/philippines
PLW,Palau,/countries/palau
PNG,Papua New Guinea,/countries/papua-new-guinea
POL,Poland,/countries/poland
PRK,"Korea, Democratic People's Republic of",/countries/korea-democratic-peoples-republic
PRT,Portugal,/countries/portugal
PRY,Paraguay,/countries/paraguay
PSX,Palestine,/countries/palestine
PYF,French Polynesia,/countries/french-polynesia
QAT,Qatar,/countries/qatar
ROU,Romania,/countries/romania
RUS,Russian Federation,/countries/russian-federation
RWA,Rwanda,/countries/rwanda
SAH,Western Sahara,/countries/western-sahara
SAU,Saudi Arabia,/countries/saudi-arabia
SDN,Sudan,/countries/sudan
SEN,Senegal,/countries/senegal
SGP,Singapore,/countries/singapore
SLB,Solomon Islands,/countries/solomon-islands
SLE,Sierra Leone,/countries/sierra-leone
SLV,El Salvador,/countries/el-salvador
SMR,San Marino,/countries/san-marino
SOL,Somaliland,/countries/somaliland
SOM,Somalia,/countries/somalia
SRB,Serbia,/countries/serbia
STP,Sao Tome and Principe,/countries/sao-tome-and-principe
SUR,Suriname,/countries/suriname
SVK,Slovakia,/countries/slovakia
SVN,Slovenia,/countries/slovenia
SWE,Sweden,/countries/sweden
SWZ,Swaziland,/countries/swaziland
SYC,Seychelles,/countries/seychelles
SYR,Syria,/countries/syria
TCA,Turks And Caicos Islands (United Kingdom),/countries/turks-and-caicos-islands-united-kingdom
TCD,Chad,/countries/chad
TGO,Togo,/countries/togo
THA,Thailand,/countries/thailand
TJK,Tajikistan,/countries/tajikistan
TKM,Turkmenistan,/countries/turkmenistan
TLS,Timor-Leste,/countries/timor-leste
TON,Tonga,/countries/tonga
TTO,Trinidad and Tobago,/countries/trinidad-and-tobago
TUN,Tunisia,/countries/tunisia
TUR,Turkey,/countries/turkey
TUV,Tuvalu,/countries/tuvalu
TWN,Taiwan,/countries/taiwan
TZA,Tanzania,/countries/tanzania
UGA,Uganda,/countries/uganda
UKR,Ukraine,/countries/ukraine
URY,Uruguay,/countries/uruguay
USA,United States of America,/countries/united-states-america
UZB,Uzbekistan,/countries/uzbekistan
VAT,Vatican City State (Holy See),/countries/vatican-city-state-holy-see
VCT,Saint Vincent and the Grenadines,/countries/saint-vincent-and-grenadines
VEN,Venezuela,/countries/venezuela
VNM,Viet Nam,/countries/viet-nam
VUT,Vanuatu,/countries/vanuatu
WSM,Samoa,/countries/samoa
YEM,Yemen,/countries/yemen
ZAF,South Africa,/countries/south-africa
ZMB,Zambia,/countries/zambia
ZWE,Zimbabwe,/countries/zimbabwe
